timestamp,hour,day,count
2024-03-01 00:00:00,0,4,2.0
2024-03-01 00:05:00,0,4,0.0
2024-03-01 00:10:00,0,4,14.0
2024-03-01 00:15:00,0,4,0.0
2024-03-01 00:20:00,0,4,1.0
2024-03-01 00:25:00,0,4,3.0
2024-03-01 00:30:00,0,4,4.0
2024-03-01 00:35:00,0,4,0.0
2024-03-01 00:40:00,0,4,4.0
2024-03-01 00:45:00,0,4,16.0
2024-03-01 00:50:00,0,4,0.0
2024-03-01 00:55:00,0,4,0.0
2024-03-01 01:00:00,1,4,2.0
2024-03-01 01:05:00,1,4,15.0
2024-03-01 01:10:00,1,4,0.0
2024-03-01 01:15:00,1,4,0.0
2024-03-01 01:20:00,1,4,2.0
2024-03-01 01:25:00,1,4,14.0
2024-03-01 01:30:00,1,4,2.0
2024-03-01 01:35:00,1,4,1.0
2024-03-01 01:40:00,1,4,12.0
2024-03-01 01:45:00,1,4,20.0
2024-03-01 01:50:00,1,4,13.0
2024-03-01 01:55:00,1,4,2.0
2024-03-01 02:00:00,2,4,7.0
2024-03-01 02:05:00,2,4,5.0
2024-03-01 02:10:00,2,4,0.0
2024-03-01 02:15:00,2,4,3.0
2024-03-01 02:20:00,2,4,21.0
2024-03-01 02:25:00,2,4,3.0
2024-03-01 02:30:00,2,4,15.0
2024-03-01 02:35:00,2,4,2.0
2024-03-01 02:40:00,2,4,4.0
2024-03-01 02:45:00,2,4,8.0
2024-03-01 02:50:00,2,4,0.0
2024-03-01 02:55:00,2,4,0.0
2024-03-01 03:00:00,3,4,12.0
2024-03-01 03:05:00,3,4,3.0
2024-03-01 03:10:00,3,4,4.0
2024-03-01 03:15:00,3,4,1.0
2024-03-01 03:20:00,3,4,0.0
2024-03-01 03:25:00,3,4,0.0
2024-03-01 03:30:00,3,4,14.0
2024-03-01 03:35:00,3,4,0.0
2024-03-01 03:40:00,3,4,2.0
2024-03-01 03:45:00,3,4,0.0
2024-03-01 03:50:00,3,4,0.0
2024-03-01 03:55:00,3,4,11.0
2024-03-01 04:00:00,4,4,4.0
2024-03-01 04:05:00,4,4,0.0
2024-03-01 04:10:00,4,4,10.0
2024-03-01 04:15:00,4,4,15.0
2024-03-01 04:20:00,4,4,0.0
2024-03-01 04:25:00,4,4,1.0
2024-03-01 04:30:00,4,4,17.0
2024-03-01 04:35:00,4,4,0.0
2024-03-01 04:40:00,4,4,8.0
2024-03-01 04:45:00,4,4,17.0
2024-03-01 04:50:00,4,4,16.0
2024-03-01 04:55:00,4,4,0.0
2024-03-01 05:00:00,5,4,20.0
2024-03-01 05:05:00,5,4,21.0
2024-03-01 05:10:00,5,4,4.0
2024-03-01 05:15:00,5,4,21.0
2024-03-01 05:20:00,5,4,27.0
2024-03-01 05:25:00,5,4,17.0
2024-03-01 05:30:00,5,4,3.0
2024-03-01 05:35:00,5,4,20.0
2024-03-01 05:40:00,5,4,10.0
2024-03-01 05:45:00,5,4,12.0
2024-03-01 05:50:00,5,4,14.0
2024-03-01 05:55:00,5,4,10.0
2024-03-01 06:00:00,6,4,18.0
2024-03-01 06:05:00,6,4,16.0
2024-03-01 06:10:00,6,4,35.0
2024-03-01 06:15:00,6,4,24.0
2024-03-01 06:20:00,6,4,23.0
2024-03-01 06:25:00,6,4,34.0
2024-03-01 06:30:00,6,4,16.0
2024-03-01 06:35:00,6,4,8.0
2024-03-01 06:40:00,6,4,33.0
2024-03-01 06:45:00,6,4,33.0
2024-03-01 06:50:00,6,4,33.0
2024-03-01 06:55:00,6,4,37.0
2024-03-01 07:00:00,7,4,37.0
2024-03-01 07:05:00,7,4,35.0
2024-03-01 07:10:00,7,4,37.0
2024-03-01 07:15:00,7,4,55.0
2024-03-01 07:20:00,7,4,46.0
2024-03-01 07:25:00,7,4,59.0
2024-03-01 07:30:00,7,4,51.0
2024-03-01 07:35:00,7,4,60.0
2024-03-01 07:40:00,7,4,60.0
2024-03-01 07:45:00,7,4,39.0
2024-03-01 07:50:00,7,4,42.0
2024-03-01 07:55:00,7,4,38.0
2024-03-01 08:00:00,8,4,60.0
2024-03-01 08:05:00,8,4,82.0
2024-03-01 08:10:00,8,4,71.0
2024-03-01 08:15:00,8,4,81.0
2024-03-01 08:20:00,8,4,79.0
2024-03-01 08:25:00,8,4,78.0
2024-03-01 08:30:00,8,4,72.0
2024-03-01 08:35:00,8,4,69.0
2024-03-01 08:40:00,8,4,66.0
2024-03-01 08:45:00,8,4,74.0
2024-03-01 08:50:00,8,4,87.0
2024-03-01 08:55:00,8,4,83.0
